题目,简介,作者,出版社,日期,关键字
机器学习辅助的锈蚀PC梁抗剪承载力预测方法  CNKI文献,重庆交通大学 硕士 2024 U441.5 机器学习辅助的锈蚀PC梁抗剪承载力预测方法 Machine Learning-assisted Prediction Method for Shear Capacity of Corroded PC Beams 孟令涛 郭增伟 桥梁与隧道工程 钢筋混凝土(RC)和预应力钢筋混凝土(PC)结构的抗剪能力是保障结构安全的关键因素...,孟令涛 导师:郭增伟,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：机器学习 / 遗传编程 / 锈蚀PC空心板梁 / 抗剪承载力
下载（71）|被引（0）"
基于复合参数机器学习模型的路面抗滑性能研究  CNKI文献,"重庆交通大学 硕士 2024 U416.2 基于复合参数机器学习模型的路面抗滑性能研究 Study on Road Surface Anti Slip Performance Based on Composite Parameter Machine Learning Model 张政奇 何小兵；彭毅 交通运输工程 路面抗滑性能直接影响着道路交通安全,良好的路面抗滑性能...",张政奇 导师:何小兵;彭毅,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：路面抗滑 / 路面纹理 / 机器学习 / 图像降维
下载（44）|被引（0）"
基于同态加密的机器学习隐私保护算法研究  CNKI文献,"曲阜师范大学 计算机学院 硕士 2024 基于同态加密的机器学习隐私保护算法研究 张文丹 孙玉红 电子信息（专业学位） 近年来,机器学习与云计算的迅猛发展使得在云服务平台上执行大规模机器学习任务成为一种可行的解决方案。因为机器学习需要大量的数据信息进行训练,而云服务器提供了强大的计算服务能力,越来越多的用户开始选择使用基于云平台的~#...",张文丹 导师:孙玉红,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：机器学习 / 部分同态加密 / 隐私保护 / 格式检查
下载（115）|被引（0）"
基于因子分析以及集成机器学习的岩质边坡稳定性预测模型  CNKI文献,"重庆交通大学 硕士 2024 U416 基于因子分析以及集成机器学习的岩质边坡稳定性预测模型 Prediction Model of Rock Slope Stability Based on Factor Analysis and Integrated Machine Learning 简典 叶四桥 市政工程（含给排水等）（专业学位） 截止2022年底,我国公路总里...",简典 导师:叶四桥,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：机器学习 / 集成模型 / 边坡稳定性 / 岩质边坡
下载（127）|被引（1）"
机器学习驱动的盾构隧道施工地表沉降预测和控制研究  CNKI文献,广州大学 硕士 2024 机器学习驱动的盾构隧道施工地表沉降预测和控制研究 Research on Surface Settlement Prediction and Control in Shield Tunnel Construction Driven by Machine Learning 王泽盼 刘超 土木工程（专业学位） 隧道智能建造 盾构施工引起的地表沉降...,王泽盼 导师:刘超,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：盾构隧道 / 机器学习 / 模型解释 / 沉降预测
下载（85）|被引（0）"
基于机器学习的混凝土损伤声发射定位研究  CNKI文献,"重庆交通大学 硕士 2024 TU528 基于机器学习的混凝土损伤声发射定位研究 Research on Acoustic Emission Localization of Concrete Damage Based on Machine Learning 邓嘉欣 王子仪 材料与化工（专业学位） 声发射技术可对混凝土内部损伤进行实时监测与定位,并判断其破坏类型与损伤程...",邓嘉欣 导师:王子仪,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：混凝土结构无损检测 / 声发射 / 损伤定位 / 机器学习
下载（90）|被引（0）"
SERS结合机器学习筛查肺炎支原体感染的研究  CNKI文献,"吉林大学 生命科学学院 硕士 2024 R392.11 SERS结合机器学习筛查肺炎支原体感染的研究 SERS Combined with Machine Learning for Screening of Mycoplasma Pneumoniae Infection 程巧梅 蔡林君 生物学 生物检测技术 肺炎支原体(Mycoplasma pneumoniae,...",程巧梅 导师:蔡林君,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：表面增强拉曼光谱 / 化学指纹图谱 / 机器学习算法 / 肺炎支原体
下载（76）|被引（0）"
基于机器学习的南水北调中线水质理化指标智能预测研究  CNKI文献,广西大学硕士学位论文 基于机器学习的南水北调中线 水质理化指标智能预测研究 1 第一章 绪论 1.1 研究背景及意义 充足优质的水资源是保证人类社会健康发展和维护自然生态系统完整稳定的重要 基础。近几十年来，在极端气候事件频发和人类活动影响范围扩大的共同作用下，水 质恶化事件在世界各类水体间长期持续性暴发，已成为严重威胁人类经济社会可持续 发展和生态系统健康的一大全球...,赖程 导师:农翕智,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：跨流域调水工程 / 水质理化指标 / 多级耦合优化 / 可解释性机器学习
下载（19）|被引（0）"
基于机器学习的大跨钢管混凝土拱桥施工过程状态预测与评估  CNKI文献,广西大学硕士学位论文 基于机器学习的大跨钢管混凝土拱桥施工过程状态预测与评估 1 第一章 绪论 1.1 研究背景及意义 1.1.1 研究背景 钢管混凝土（concrete-filled steel tube，CFST）拱桥是一种优良的钢混组合桥梁， 主要结构中的钢管因混凝土的填充提高了局部稳定性，并且混凝土因钢管的套箍作用 增大了韧性和强度[1]。由于 CFST 拱桥具...,宁杰才 导师:谢开仲,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：钢管混凝土拱桥 / 结构健康监测 / 斜拉扣挂法 / 机器学习算法
下载（23）|被引（0）"
基于机器学习的卫星降水产品在广西的数据融合及应用研究  CNKI文献,"广西大学硕士专业学位论文 基于机器学习的卫星降水产品在广西的数据融合及应用研究 1 第一章 绪论 1.1 研究背景与意义 降水是全球水循环的重要环节[1]，同时也是地球能量收支的重要组成部分[2]。降水 对气候调节[3]、地表水和地下水的形成[4, 5]以及维持生态系统稳定性[6-8]具有重要影响。 同时在水资源管理[9, 10]、自然灾害预警[11]、农业生产[12...",黄安伟 导师:孙桂凯;杨梅庆,中国优秀硕士学位论文全文数据库, 2024-06-01 ,"关键词：卫星降水产品 / 机器学习 / 数据融合 / 精度评估
下载（34）|被引（0）"
基于机器学习的纳米孔分子检测  CNKI文献,中北大学专业学位硕士学位论文 1 1 绪论 1.1 研究背景与意义 在科技飞速发展的今天，人类对微观世界的探索已经达到了前所未有的高度。 生物分子，作为生命活动的基本单元，其重要性不言而喻。它们不仅参与着生物体 内各种复杂的生化反应，还承载着生命信息的传递和表达。因此，对生物分子的深 入研究和分析，对于理解生命活动的本质、揭示疾病的发生机制、推动药物研发等 领域都具有重要意义。 ...,周思成 导师:武京治;梁晓林,中国优秀硕士学位论文全文数据库, 2024-05-31 ,"关键词：分子检测 / 固态纳米孔 / 机器学习 / 分子过孔模型
下载（19）|被引（0）"
制造业数字化转型驱动因素研究  CNKI文献,"兰州财经大学 硕士 2024 制造业数字化转型驱动因素研究 Research on Drivers of Digital Transformation in Manufacturing Enterprises 基于机器学习的证据 Evidence Based on Machine Learning 贾映彬 关辉国 工商管理 企业管理 公司治理 在数字化时代,制造业...",贾映彬 导师:关辉国,中国优秀硕士学位论文全文数据库, 2024-05-30 ,"关键词：企业数字化转型 / 机器学习 / 制造业 / 上市公司
下载（166）|被引（0）"
基于分子动力学模拟和机器学习的配体—靶标相互作用网络研究  CNKI文献,山东交通学院 硕士 2024 TP399 基于分子动力学模拟和机器学习的配体—靶标相互作用网络研究 Ligand-target Interaction Network Research Based on Molecular Dynamics Simulations and Machine Learning 王逸雯 何为凯；刘阳；陈纪旸 机械（专业学位） 药物发现阶段本...,王逸雯 导师:何为凯;刘阳;陈纪旸,中国优秀硕士学位论文全文数据库, 2024-05-30 ,"关键词：机器学习 / 分子动力学模拟 / 主成分分析 / 分子力学-广义波恩表面积
下载（55）|被引（0）"
MOF分离材料的高通量筛选与机器学习研究  CNKI文献,北京化工大学 硕士 2024 TQ013 MOF分离材料的高通量筛选与机器学习研究 High-throughput Screening and Machine Learning Research for MOF Separation Materials 李文轩 阳庆元 北京化工大学 化学工程与技术 机器学习 陈晓春 传统的热驱动技术在工业化学分离中需...,李文轩 导师:阳庆元,中国优秀硕士学位论文全文数据库, 2024-05-30 ,"关键词：金属-有机骨架材料 / 气体分离 / 机器学习 / 分子模拟
下载（102）|被引（0）"
机器学习辅助的温室气体分离材料筛选与设计  CNKI文献,北京化工大学 硕士 2024 TQ013 机器学习辅助的温室气体分离材料筛选与设计 Machine Learning Assisted Screening and Design of Greenhouse Gas Separation Materials 文一如 刘大欢 北京化工大学 化学工程与技术 计算化学 陈晓春 温室气体的持续排放将进一步加剧全球变暖的危机...,文一如 导师:刘大欢,中国优秀硕士学位论文全文数据库, 2024-05-30 ,"关键词：金属有机骨架材料 / 机器学习 / 分子模拟 / 气体分离
下载（56）|被引（0）"
双流化床生物炭特性分析和VOCs吸附机器学习模型预测  CNKI文献,北京化工大学 硕士 2024 X511 双流化床生物炭特性分析和VOCs吸附机器学习模型预测 Characterzation of Dual Fluidized Bed Biochar and Prediction of VOCs Adsorption Via Machine Learning Model 陈远祥 代建军 北京化工大学 化学工程与技术 固废处理及资源...,陈远祥 导师:代建军,中国优秀硕士学位论文全文数据库, 2024-05-30 ,"关键词：双流化床 / 生物炭 / 挥发性有机物 / 机器学习
下载（48）|被引（0）"
基于机器学习的多级评分认知诊断个人拟合方法研究  CNKI文献,贵州师范大学 硕士 2024 基于机器学习的多级评分认知诊断个人拟合方法研究 Person-fit for Cognitive Diagnostic Tests with Polytomous Items Based on Machine Learning 李宁 高旭亮 应用心理（专业学位） 心理统计与测量 认知诊断评估(Cognitive Diagnostic As...,李宁 导师:高旭亮,中国优秀硕士学位论文全文数据库, 2024-05-29 ,"关键词：机器学习 / 认知诊断 / 个人拟合统计量 / 异常反应模式
下载（46）|被引（0）"
基于机器学习的视频点播平台客户细分与保留策略研究  CNKI文献,哈尔滨商业大学 硕士 2024 基于机器学习的视频点播平台客户细分与保留策略研究 Research on Customer Segmentation and Retention Strategy of VOD Platform Based on Machine Learning 赵全盛 赵志杰 哈尔滨商业大学 电子商务 先进的无线技术和智能移动设备使用户几乎可以从任何...,赵全盛 导师:赵志杰,中国优秀硕士学位论文全文数据库, 2024-05-27 ,"关键词：视频点播平台 / RFM模型 / 客户保留 / 机器学习
下载（58）|被引（0）"
基于机器学习的加密货币收益、风险溢出效应与投资组合研究  CNKI文献,"中山大学 博士 2024 基于机器学习的加密货币收益、风险溢出效应与投资组合研究 Research on Cryptocurrency's Returns,Risk Spillover Effects,and Portfolios Based on Machine Learning 李星毅 朱书尚 金融学 作为数字资产的关键组成部分,加密货币为传统金融系统带来变革的同时...",李星毅 导师:朱书尚,中国博士学位论文全文数据库, 2024-05-26 ,"关键词：加密货币 / 收益率预测 / 波动率溢出效应 / 机器学习
下载（707）|被引（0）"
可解释机器学习在电网调控领域中的应用  CNKI文献,0 引言 随着以新能源为主体的新型电力系统建设，电力系统的电源构成、网架结构、负荷特性比以往发生了重大变化，具有更强的不确定性、复杂性和非线性[1]。电力系统中很多问题难以建立精确的数学模型或者难以单纯用数学模型描述[2]。因此，近年来，以机器学习、深度学习等数据驱动方法为代表的新一代人工智能技术在电网调控领域得到广泛应用，取得了显著的成果。 [1] [2] 目前，...,庞传军 王珅 余建明,《电力信息与通信技术》,2024年05期,"关键词：人工智能 / 机器学习 / 电网调度运行 / 可解释机器学习
下载（317）|被引（0）"
机器学习在心血管疾病中应用的研究进展  CNKI文献,随着人口老龄化进程加快，受居民不良生活方式的影响，心血管疾病发病率逐年增高。据统计，2020年，我国罹患心血管病人数约为3.3亿例，且农村地区心血管病死亡率高于城市[1]。临床对心血管疾病的诊断主要依赖医师对病人临床症状、既往病史及辅助检查的综合分析。医师的经验水平对诊疗效率带来一定的影响，且心血管疾病的诊断过程烦琐且价格昂贵[1]。机器学习因具有强大的分析与处理能力，在心血管疾病临床...,郑琰莉 苏文星 宋元涛,《中西医结合心脑血管病杂志》,2024年10期,"关键词：心血管疾病 / 机器学习 / 临床应用 / 综述
下载（535）|被引（0）"
面向研究生的机器学习类课程实践改革研究  CNKI文献,1人工智能课程的重要性 近年来，新一代信息技术如云计算、物联网技术、人机交互和移动互联网等相继涌现。大数据已深入人类生活的方方面面，因而产生了大量的数据信息，面对海量的数据信息，研究大数据最大的意义在于在对数据的分析和挖掘中，发现新的知识并创造新的价值，提升新能力，进而改善新的产品。数据的价值在于将信息转化为知识。如果不能深度加工数据，即使数据量再庞大，其所能呈现的价值依然是小的。因此，如何有效...,敬超 郑荣华,《科教导刊》,2024年15期,"关键词：机器学习 / 人工智能 / 研究生 / 课程及专业建设
下载（113）|被引（0）"
基于机器学习的汽车故障诊断技术研究  CNKI文献,引言 随着汽车技术的不断进步，车辆的结构和控制系统变得越来越复杂，故障诊断的难度也相应增大。传统的故障诊断方法往往依赖于经验和技术人员的直觉，效率低下且出错率高。因此，研究基于机器学习的汽车故障诊断技术具有十分重要的现实意义和应用价值。 1 机器学习技术与故障诊断技术 1.1 机器学习技术概述 机器学习作为人工智能的一个重要分支，其目标在于让...,蔡亮,《汽车知识》,2024年05期,"关键词：机器学习 / 汽车故障诊断 / 数据驱动 / 智能化
下载（16）|被引（1）"
基于高通量筛选和机器学习的电催化材料设计  CNKI文献,"贵州师范大学 硕士 2024 基于高通量筛选和机器学习的电催化材料设计 Design of Electrocatalytic Materials Based on High-Throughput Screening and Machine Learning 杨雨 肖文君 无线电物理 光电催化材料设计研究 人类过度依赖煤、石油和天然气等能源,对能源储量和环境都带来严重的...",杨雨 导师:肖文君,中国优秀硕士学位论文全文数据库, 2024-05-25 ,"关键词：第一性原理计算 / 二维材料 / 电催化 / 机器学习
下载（208）|被引（0）"
《机器学习在生物科学应用中的最新进展与未来展望》（节选）的汉译及翻译实践报告  CNKI文献,贵州师范大学 硕士 2024 《机器学习在生物科学应用中的最新进展与未来展望》（节选）的汉译及翻译实践报告 The English-Chinese Translation of Machine Learning in Biological Sciences:Updates and Future Prospects (Excerpts) and a Report on the T...,杨培培 导师:刘瑾,中国优秀硕士学位论文全文数据库, 2024-05-20 ,"关键词：机器学习 / 生态翻译 / 三维转换 / 翻译方法
下载（59）|被引（0）"
基于机器学习理论的固态锂电池荷电状态估计  CNKI文献,"成都大学 硕士 2024 基于机器学习理论的固态锂电池荷电状态估计 State of Charge Estimation of Solid-state Lithium Batteries Based on Machine Learning Theory 何亮 廖家轩；赵全起 材料与化工 电池技术作为现代社会的基石,在能源储存和转换领域发挥着举足轻重的作用。随着科技的飞速...",何亮 导师:廖家轩;赵全起,中国优秀硕士学位论文全文数据库, 2024-05-13 ,"关键词：固态电池 / 机器学习 / 荷电状态估计 / 电池管理系统
下载（226）|被引（0）"
基于知识迁移贯通的机器学习课程教学改革  CNKI文献,0 引言 机器学习是一门交叉学科，其涉及的领域包含概率论、数理统计学、最优化等。作为人工智能技术的重要组成部分，机器学习技术在图像识别、语音识别、推荐系统、自动驾驶等各行业都发挥了巨大作用。当前社会对机器学习人才的需求量越来越大，而高校作为人工智能人才的培养基地，则肩负起了推动我国人工智能高质量发展的重任，因此，近年来越来越多的国内高校开始重视机器学习@...,李爽 韩锐 李轩涯,《计算机教育》,2024年05期,"关键词：机器学习 / 知识迁移 / OBE理念 / 学科融合
下载（198）|被引（0）"
机器学习在地球物理勘探中铀矿资源勘查的应用研究进展  CNKI文献,2006年，Hinton[1]等提出的深度置信网络开启了人工智能的机器学习时代。此后，人工智能技术在各行业不断取得突破，如在自动驾驶、语音助手、语音识别和翻译、智能推荐、智能搜索和手写识别及医学等领域均取得了巨大进展。随着人工智能技术的快速发展，尤其是机器学习方法的广泛应用，极大地促进了智能化物探领域的发展。目前，机器学习AI技术广泛应用于物探领域，为地球物理学...,韩世礼 肖健 柳位,《铀矿地质》,2024年03期,"关键词：机器学习 / 放射性勘探 / 地球物理测井 / 成矿预测
下载（327）|被引（1）"
网络异常检测中机器学习的应用  CNKI文献,0 引言 本研究的意义在于深入探讨机器学习在网络安全中的作用，以提供有效应对网络威胁的解决方案。异常检测、入侵检测和恶意软件检测等领域的研究，能够展现机器学习技术在提高网络安全性能和防御能力方面的潜力。这将为构建更智能、更自适应的网络安全系统提供重要参考，以帮助保护个人信息，维护网络环境的稳定与安全。 1 异常检测概述 1.1 异常检测概述 在网络安全领域，异常检测...,孙瑾,《信息与电脑(理论版)》,2024年09期,"关键词：机器学习 / 网络安全 / 异常检测 / 防御
下载（23）|被引（0）"
机器学习在土壤污染识别中的应用研究进展  CNKI文献,土壤作为人类赖以生存的重要自然资源，由于工农业生产的迅速发展，不可避免地受到了被污染的威胁。预测、识别和评估土壤污染对环境和人类健康至关重要。在土壤污染研究中，特别是在处理土壤重金属污染时，传统的研究方法主要通过监测土壤中的重金属含量来进行。通常，研究人员会在特定区域进行布点采样，将采集的样品带回实验室进行理化实验检测。检测内容主要包括样品中的重金属元素含量，结合相关的地统计方法构建模型，利用污染...,傅嘉辉 陈云 王丽娜 石佳奇 韦婧 刘雪岩 张红燕,《湖南师范大学自然科学学报》,2024年05期,"关键词：机器学习 / 土壤污染 / 重金属 / 风险评估
下载（0）|被引（0）"
基于机器学习的三元铜基催化剂性能预测与材料设计  CNKI文献,1绪论 1绪论 1.1有机硅材料 有机硅是具有硅氧键主链和有机基团侧链的聚合物材料，因其独特的结构，有机 硅材料同时具备有机和无机材料的双重优势。Si-0键赋予了有机硅类似于二氧化硅 的无机性能，能够抗气候老化、绝缘，还拥有耐化学腐蚀、耐候、耐高温等特性。在 有机性能方面，有机硅的分子链又比碳链更为开放，相比碳链有机物性质更为稳定， 工作损耗更少，拥有更长的使用寿命[1]。由于其一系...,麻天润 导师:王建伟,中国优秀硕士学位论文全文数据库, 2024-05-06 ,"关键词：Rochow-Müller反应 / 铜基催化剂 / M2选择性 / 多目标优化
下载（52）|被引（0）"
基于机器学习的无Ni超弹性钛合金成分设计  CNKI文献,1绪论 i m 1.1研宄背景 金属材料的超弹性是指材料在卸载时表现出的显著可恢复应变，这种现象通常由 应力诱导的可逆马氏体相变驱动。超弹性和形状记忆合金都可以提供大变形和大作用 力，从而为微创外科手术提供坚固稳定的手术装置，特别适用于机械操作困难而加热 方便的温度驱动装置，更重要的是，其具备良好的耐蚀性能、低毒性和生物相容性， 因此，它可以用于植入人体，例如支架、钉子和缝合线，而不...,陈浩东 导师:于洋,中国优秀硕士学位论文全文数据库, 2024-05-06 ,"关键词：机器学习 / 钛合金 / 超弹性能 / 显微组织
下载（45）|被引（0）"
基于小样本量李赛美特色门诊资料的多模型优化机器学习《伤寒论》研究  CNKI文献,广州中医药大学 硕士 2023 R222.2 基于小样本量李赛美特色门诊资料的多模型优化机器学习《伤寒论》研究 Research on Shanghan Lun Based on Multi-model Optimized Machine Learning Using Li Saimei's Characteristic Outpatient Data with Small Sample...,隋画橙 导师:李赛美,中国优秀硕士学位论文全文数据库, 2023-06-01 ,"关键词：机器学习 / 名医传承 / 模拟诊断系统 / 《伤寒论》
下载（49）|被引（0）"
基于可解释机器学习的中国表层土壤有机碳时空异质性研究  CNKI文献,中国环境科学研究院 硕士 2024 基于可解释机器学习的中国表层土壤有机碳时空异质性研究 Spatiotemporal Heterogeneity of Surface Soil Organic Carbon in China Based on Interpretable Machine Learning 孙怡 马瑾 环境科学 土壤碳循环 土壤有机碳(Soil Organic C...,孙怡 导师:马瑾,中国优秀硕士学位论文全文数据库, 2024-06-03 ,"关键词：机器学习 / 遥感反演 / 土壤有机碳 / 时空变化
下载（248）|被引（0）"
基于CFD及机器学习的高层建筑气动荷载时程预测研究  CNKI文献,"广州大学 硕士 2024 基于CFD及机器学习的高层建筑气动荷载时程预测研究 Numerical Prediction on Time Series of Aerodynamic Loading of Tall Building by CFD and Machine Learning Algorithm 王坤 吴玖荣 土木工程（专业学位） 结构抗风 近年来,随着我国经济社会的不断...",王坤 导师:吴玖荣,中国优秀硕士学位论文全文数据库, 2024-05-01 ,"关键词：高层建筑 / CFD数值仿真 / 机器学习算法 / 优化算法
下载（115）|被引（0）"
基于机器学习的CHNO类含能材料爆速及感度预测研究  CNKI文献,南京理工大学 硕士 2023 基于机器学习的CHNO类含能材料爆速及感度预测研究 Study on Prediction of Detonation Velocity and Sensitivity of CHNO-Energetic Materials Based on Machine Learning 罗士保 谈玲华 材料与化工（专业学位） 含能材料性能预测研究 爆速、撞击感...,罗士保 导师:谈玲华,中国优秀硕士学位论文全文数据库, 2023-03-01 ,"关键词：爆速 / 撞击感度 / 静电火花感度 / 机器学习
下载（65）|被引（0）"
基于机器学习的多级评分认知诊断个人拟合方法研究  CNKI文献,贵州师范大学 硕士 2024 基于机器学习的多级评分认知诊断个人拟合方法研究 Person-fit for Cognitive Diagnostic Tests with Polytomous Items Based on Machine Learning 李宁 高旭亮 应用心理（专业学位） 心理统计与测量 认知诊断评估(Cognitive Diagnostic Assessme...,李宁 导师:高旭亮,中国优秀硕士学位论文全文数据库, 2024-05-29 ,"关键词：机器学习 / 认知诊断 / 个人拟合统计量 / 异常反应模式
下载（46）|被引（0）"
机器学习辅助的信道参数估计  CNKI文献,第一章 绪论 1 第一章 绪论 1.1 研究背景及意义 近几十年来，移动通信技术的迅速发展已经深刻改变了现代社会的生产、管理和人 们的生活方式[1]。无线信道作为无线通信系统信息传播的媒介，其特性对于设计无线通 信系统、分析通信质量和模拟网络性能等具有重要的意义[2]-[4]。可以说在无线通信系统 中，无线传输的性能直接取决于信道的传播特性，因此，有关无线信道的测量参数的估 计对...,朱勇 导师:王海明,中国优秀硕士学位论文全文数据库, 2023-05-19 ,"关键词：信道参数估计 / 到达角估计 / 多径时延估计 / 机器学习
下载（8）|被引（0）"
基于机器学习的张弦桁架抗连续倒塌能力评估  CNKI文献,第一章 绪论 1 第一章 绪论 1.1 研究背景 张弦桁架结构是在张弦梁结构基础上发展起来的一种新型大跨结构，是一种由中部 撑杆连接顶部刚性拱形桁架和底部柔性拉索组合而成的自平衡体系[1]，具有承载力高、 受力合理、跨度大、外形轻巧等优点[2]。近年来，随着我国经济发展水平的不断提高和 工程技术水平的飞速发展，张弦桁架结构在大空间的重要公共建筑中得到了广泛使用， 如新疆国际会展...,姚杰华 导师:周臻,中国优秀硕士学位论文全文数据库, 2023-05-21 ,"关键词：张弦桁架 / 抗连续倒塌能力 / 机器学习 / 可解释SHAP方法
下载（19）|被引（0）"
异构集群下分布式机器学习参数同步与通信优化方法研究  CNKI文献,"贵州大学 硕士 2023 TP181 异构集群下分布式机器学习参数同步与通信优化方法研究 马翔 郭春 软件工程 李泽平 随着人工智能、大数据、云计算等新型信息技术的飞速发展,借助大数据分析以及机器学习解决实际问题成为计算机发展的趋势。由于数据量的激增与模型复杂性的提高,单个计算节点的计算能力与内存容量已不足以提供良好的训练效率。因此,分布式机器学习成为解决单机训练问题的主流技术。...",马翔 导师:郭春,中国优秀硕士学位论文全文数据库, 2023-06-01 ,"关键词：分布式机器学习 / 落后者 / 陈旧梯度 / 异构集群
下载（10）|被引（0）"
基于知识迁移贯通的机器学习课程教学改革  CNKI文献,0 引言 机器学习是一门交叉学科，其涉及的领域包含概率论、数理统计学、最优化等。作为人工智能技术的重要组成部分，机器学习技术在图像识别、语音识别、推荐系统、自动驾驶等各行业都发挥了巨大作用。当前社会对机器学习人才的需求量越来越大，而高校作为人工智能人才的培养基地，则肩负起了推动我国人工智能高质量发展的重任，因此，近年来越来越多的国内高校开始重视机器学习@...,李爽 韩锐 李轩涯,《计算机教育》,2024年05期,"关键词：机器学习 / 知识迁移 / OBE理念 / 学科融合
下载（198）|被引（0）"
机器学习在地球物理勘探中铀矿资源勘查的应用研究进展  CNKI文献,2006年，Hinton[1]等提出的深度置信网络开启了人工智能的机器学习时代。此后，人工智能技术在各行业不断取得突破，如在自动驾驶、语音助手、语音识别和翻译、智能推荐、智能搜索和手写识别及医学等领域均取得了巨大进展。随着人工智能技术的快速发展，尤其是机器学习方法的广泛应用，极大地促进了智能化物探领域的发展。目前，机器学习AI技术广泛应用于物探领域，为地球物理学...,韩世礼 肖健 柳位,《铀矿地质》,2024年03期,"关键词：机器学习 / 放射性勘探 / 地球物理测井 / 成矿预测
下载（327）|被引（1）"
网络异常检测中机器学习的应用  CNKI文献,0 引言 本研究的意义在于深入探讨机器学习在网络安全中的作用，以提供有效应对网络威胁的解决方案。异常检测、入侵检测和恶意软件检测等领域的研究，能够展现机器学习技术在提高网络安全性能和防御能力方面的潜力。这将为构建更智能、更自适应的网络安全系统提供重要参考，以帮助保护个人信息，维护网络环境的稳定与安全。 1 异常检测概述 1.1 异常检测概述 在网络安全领域，异常检测...,孙瑾,《信息与电脑(理论版)》,2024年09期,"关键词：机器学习 / 网络安全 / 异常检测 / 防御
下载（23）|被引（0）"
典型有机化学品的人体致癌毒性和内分泌干扰毒性的机器学习分类与回归模型预测  CNKI文献,吉林大学 新能源与环境学院 硕士 2024 X32 典型有机化学品的人体致癌毒性和内分泌干扰毒性的机器学习分类与回归模型预测 Machine Learning Classification and Regression Model Prediction of Human Carcinogenic and Endocrine Disruptive Toxicity of Typical ...,郝宁 导师:赵文晋,中国优秀硕士学位论文全文数据库, 2024-05-01 ,"关键词：机器学习 / 有机化学品 / 致癌性 / 内分泌干扰性
下载（86）|被引（0）"
基于机器学习的黄土高原沟壑区小流域水热碳过程模拟  CNKI文献,西安理工大学 硕士 2024 基于机器学习的黄土高原沟壑区小流域水热碳过程模拟 Modeling of the Processes of Water-heat-carbon Based on Machine Learning in a Gually Watershed on Loess Plateau 邓炜 刘登峰 水文学及水资源 土壤湿度、土壤温度、河水温度以及二氧化碳浓度都是水...,邓炜 导师:刘登峰,中国优秀硕士学位论文全文数据库, 2024-06-30 ,"关键词：黄土高原 / 土壤湿度 / 土壤温度 / 河水温度
下载（50）|被引（0）"
机器学习在识别和预测创伤后应激障碍中的应用  CNKI文献,中国人民解放军海军军医大学 硕士 2024 机器学习在识别和预测创伤后应激障碍中的应用 The Application of Machine Learning in Identifying and Predicting Posttraumatic Stress Disorder 王兢 刘伟志；尚志蕾 应用心理（专业学位） 刘旭峰 目的: 创伤后应激障碍(Posttraumati...,王兢 导师:刘伟志;尚志蕾,中国优秀硕士学位论文全文数据库, 2024-05-01 ,"关键词：机器学习 / 创伤后应激障碍 / 识别 / 预测
下载（166）|被引（0）"
机器学习在土壤污染识别中的应用研究进展  CNKI文献,土壤作为人类赖以生存的重要自然资源，由于工农业生产的迅速发展，不可避免地受到了被污染的威胁。预测、识别和评估土壤污染对环境和人类健康至关重要。在土壤污染研究中，特别是在处理土壤重金属污染时，传统的研究方法主要通过监测土壤中的重金属含量来进行。通常，研究人员会在特定区域进行布点采样，将采集的样品带回实验室进行理化实验检测。检测内容主要包括样品中的重金属元素含量，结合相关的地统计方法构建模型，利用污染...,傅嘉辉 陈云 王丽娜 石佳奇 韦婧 刘雪岩 张红燕,《湖南师范大学自然科学学报》,2024年05期,"关键词：机器学习 / 土壤污染 / 重金属 / 风险评估
下载（0）|被引（0）"
基于机器学习的电催化氧化水处理技术前瞻性LCA与过程逆向设计  CNKI文献,第 1 章 绪 论 - 1 - 第 1 章 绪 论 1.1 课题背景 本课题来源于国家自然科学基金优秀青年基金项目“废水电化学处理理论 与方法”（项目号：51822806）的支持。 近年来，水资源的紧缺和水污染问题已经成为全球范围内备受关注的重要 问题之一[1]。同时，为了减少对环境的影响和实现可持续发展，绿色能源和清 洁技术已成为许多国家和地区的政策目标。电催化...,孙叶 导师:尤世界,中国博士学位论文全文数据库, 2023-05-01 ,"关键词：电催化氧化 / 废水处理 / 生命周期评价 / 机器学习
下载（118）|被引（0）"
基于机器学习的回归技术及理论研究  CNKI文献,"华东师范大学 博士 2024 O212.1 基于机器学习的回归技术及理论研究 Research on Regression Techniques and Theories Based on Machine Learning 邱锐 於州 统计学 统计机器学习 朱仲义 随着人工智能时代的来临,回归技术作为一种强大的统计工具,在解释变量之间关系的同时,在机器学习的预测任务中也扮演着...",邱锐 导师:於州,中国博士学位论文全文数据库, 2024-03-01 ,"关键词：神经网络 / 随机森林 / 充分降维 / 度量空间
下载（82）|被引（0）"
